2016-10-23 15:18:25 INFO  Configuration:2075 - HHH000043: Configuring from resource: /hibernate.cfg.xml
2016-10-23 15:18:25 INFO  Configuration:2094 - HHH000040: Configuration resource: /hibernate.cfg.xml
2016-10-23 15:18:25 WARN  DTDEntityResolver:75 - HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2016-10-23 15:18:26 INFO  Configuration:2216 - HHH000041: Configured SessionFactory: null
2016-10-23 15:18:47 WARN  DriverManagerConnectionProviderImpl:93 - HHH000402: Using Hibernate built-in connection pool (not for production use!)
2016-10-23 15:18:47 INFO  DriverManagerConnectionProviderImpl:166 - HHH000401: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/bank?useUnicode=true&characterEncoding=utf-8]
2016-10-23 15:18:47 INFO  DriverManagerConnectionProviderImpl:175 - HHH000046: Connection properties: {user=root, password=****}
2016-10-23 15:18:47 INFO  DriverManagerConnectionProviderImpl:180 - HHH000006: Autocommit mode: false
2016-10-23 15:18:48 INFO  DriverManagerConnectionProviderImpl:102 - HHH000115: Hibernate connection pool size: 20 (min=1)
2016-10-23 15:18:54 INFO  Dialect:145 - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2016-10-23 15:25:24 INFO  Log:17 - ایجاد نوع تسهیلات جدید به نام loanName
2016-10-23 15:25:42 INFO  Version:66 - HCANN000001: Hibernate Commons Annotations {4.0.5.Final}
2016-10-23 15:25:42 INFO  Version:54 - HHH000412: Hibernate Core {4.3.10.Final}
2016-10-23 15:25:42 INFO  Environment:239 - HHH000206: hibernate.properties not found
2016-10-23 15:25:42 INFO  Environment:346 - HHH000021: Bytecode provider name : javassist
2016-10-23 15:25:45 INFO  Configuration:2075 - HHH000043: Configuring from resource: /hibernate.cfg.xml
2016-10-23 15:25:45 INFO  Configuration:2094 - HHH000040: Configuration resource: /hibernate.cfg.xml
2016-10-23 15:25:45 WARN  DTDEntityResolver:75 - HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2016-10-23 15:25:46 INFO  Configuration:2216 - HHH000041: Configured SessionFactory: null
2016-10-23 15:26:06 WARN  DriverManagerConnectionProviderImpl:93 - HHH000402: Using Hibernate built-in connection pool (not for production use!)
2016-10-23 15:26:06 INFO  DriverManagerConnectionProviderImpl:166 - HHH000401: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/bank?useUnicode=true&characterEncoding=utf-8]
2016-10-23 15:26:06 INFO  DriverManagerConnectionProviderImpl:175 - HHH000046: Connection properties: {user=root, password=****}
2016-10-23 15:26:06 INFO  DriverManagerConnectionProviderImpl:180 - HHH000006: Autocommit mode: false
2016-10-23 15:26:07 INFO  DriverManagerConnectionProviderImpl:102 - HHH000115: Hibernate connection pool size: 20 (min=1)
2016-10-23 15:26:13 INFO  Dialect:145 - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2016-10-23 15:35:00 INFO  Log:17 - ایجاد نوع تسهیلات جدید به نام وام مسکن
2016-10-23 15:35:18 INFO  Version:66 - HCANN000001: Hibernate Commons Annotations {4.0.5.Final}
2016-10-23 15:35:18 INFO  Version:54 - HHH000412: Hibernate Core {4.3.10.Final}
2016-10-23 15:35:18 INFO  Environment:239 - HHH000206: hibernate.properties not found
2016-10-23 15:35:18 INFO  Environment:346 - HHH000021: Bytecode provider name : javassist
2016-10-23 15:35:21 INFO  Configuration:2075 - HHH000043: Configuring from resource: /hibernate.cfg.xml
2016-10-23 15:35:21 INFO  Configuration:2094 - HHH000040: Configuration resource: /hibernate.cfg.xml
2016-10-23 15:35:21 WARN  DTDEntityResolver:75 - HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2016-10-23 15:35:23 INFO  Configuration:2216 - HHH000041: Configured SessionFactory: null
2016-10-23 15:35:43 WARN  DriverManagerConnectionProviderImpl:93 - HHH000402: Using Hibernate built-in connection pool (not for production use!)
2016-10-23 15:35:43 INFO  DriverManagerConnectionProviderImpl:166 - HHH000401: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/bank?useUnicode=true&characterEncoding=utf-8]
2016-10-23 15:35:43 INFO  DriverManagerConnectionProviderImpl:175 - HHH000046: Connection properties: {user=root, password=****}
2016-10-23 15:35:43 INFO  DriverManagerConnectionProviderImpl:180 - HHH000006: Autocommit mode: false
2016-10-23 15:35:44 INFO  DriverManagerConnectionProviderImpl:102 - HHH000115: Hibernate connection pool size: 20 (min=1)
2016-10-23 15:35:50 INFO  Dialect:145 - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2016-10-23 15:43:13 INFO  Log:17 - ایجاد نوع تسهیلات جدید به نام وام مسکن
